bench,qubits,backend,fidelity,fidelity_mitigated,eta,eta_mitigated
circuit-47,8,fake_kolkata,0.6718983178713911,0.6718983178713911,0.18460763022222215,0.18460763022222215
circuit-47,8,fake_washington,0.6561264681183429,0.6561264681183429,0.22090001066666667,0.22090001066666667
circuit-47,8,fake_mumbai,0.5749244775661269,0.5749244775661269,0.4284598044444444,0.4284598044444444
circuit-47,8,fake_montreal,0.6215441348421746,0.6215441348421746,0.5152585955555553,0.5152585955555553
circuit-46,10,fake_kolkata,0.5725553245342265,0.5725553245342265,0.2813096391111109,0.2813096391111109
circuit-46,10,fake_washington,0.5303478406702464,0.5303478406702464,0.37888546133333306,0.37888546133333306
circuit-46,10,fake_mumbai,0.45565649022391264,0.45565649022391264,0.5023844124444447,0.5023844124444447
circuit-46,10,fake_montreal,0.45091747694477147,0.45091747694477147,0.6572823893333332,0.6572823893333332
circuit-51,8,fake_kolkata,0.8976037807312305,0.8976037807312305,0.06620592355555553,0.06620592355555553
circuit-51,8,fake_washington,0.6566258190774596,0.6566258190774596,0.09064356977777778,0.09064356977777778
circuit-51,8,fake_mumbai,0.76977850181332,0.76977850181332,0.25917303466666664,0.25917303466666664
circuit-51,8,fake_montreal,0.8373257618799814,0.8373257618799814,0.3652539733333333,0.3652539733333333
circuit-50,10,fake_kolkata,0.8696324330351166,0.8696324330351166,0.08321615644444441,0.08321615644444441
circuit-50,10,fake_washington,0.8498080022728467,0.8498080022728467,0.09990599111111112,0.09990599111111112
circuit-50,10,fake_mumbai,0.6678613860837771,0.6678613860837771,0.3226701368888889,0.3226701368888889
circuit-50,10,fake_montreal,0.768117544120587,0.768117544120587,0.4582859662222222,0.4582859662222222
circuit-55,8,fake_kolkata,0.9086924023203957,0.9086924023203957,0.057992078222222215,0.057992078222222215
circuit-55,8,fake_washington,0.8824288167644598,0.8824288167644598,0.07774025955555557,0.07774025955555557
circuit-55,8,fake_mumbai,0.8125911616783422,0.8125911616783422,0.22896822044444443,0.22896822044444443
circuit-55,8,fake_montreal,0.8858847053388439,0.8858847053388439,0.33394232888888886,0.33394232888888886
circuit-54,10,fake_kolkata,0.8370016990148353,0.8370016990148353,0.08041995377777775,0.08041995377777775
circuit-54,10,fake_washington,0.8114911342662585,0.8114911342662585,0.11857646933333335,0.11857646933333335
circuit-54,10,fake_mumbai,0.7000361214948316,0.7000361214948316,0.3236895857777778,0.3236895857777778
circuit-54,10,fake_montreal,0.7331106182628756,0.7331106182628756,0.4478293333333333,0.4478293333333333
