bench,backend_pick,backend_alt,fid_pick,fid_alt,eta_pick,eta_alt,score
circuit-47,fake_kolkata,fake_washington,0.6713702688532007,0.6384918021916511,0.1853358079999999,0.23715293866666654,-0.11815605746181752
circuit-46,fake_kolkata,fake_washington,0.5549187269413376,0.5109912348403276,0.22847305955555547,0.34148625066666616,-0.20380583522946955
circuit-51,fake_kolkata,fake_montreal,0.8976037807312305,0.8373257618799814,0.06620592355555553,0.3652539733333333,-1.4020894511411837
circuit-50,fake_kolkata,fake_washington,0.8696324330351166,0.8498080022728467,0.08321615644444441,0.09990599111111112,-0.07612544168652277
circuit-55,fake_kolkata,fake_washington,0.9086924023203956,0.9062758850073597,0.057992078222222215,0.07558485333333333,-0.09287107729172787
circuit-54,fake_kolkata,fake_washington,0.8411949131146959,0.8371626694125561,0.08892507022222218,0.1186929777777778,-0.10378124061167027
